,fsq_id,categories,chains,closed_bucket,distance,link,name,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.address_extended,location.census_block,location.country,location.dma,location.formatted_address,location.locality,location.postcode,location.region,geocodes.drop_off.latitude,geocodes.drop_off.longitude,search_latitude,search_longitude,search_radius,timezone,location.cross_street,related_places.parent.fsq_id,related_places.parent.categories,related_places.parent.name,related_places.children,geocodes.front_door.latitude,geocodes.front_door.longitude,location.po_box
636,47d16cbfdafd41c0b335e688,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],LikelyOpen,1669.0,/v3/places/47d16cbfdafd41c0b335e688,Talk Learn & Communicate,47.572188,-122.168388,47.572188,-122.168388,4122 Factoria Blvd SE,,530330248003001,US,Seattle-Tacoma,"4122 Factoria Blvd SE, Bellevue, WA 98006",Bellevue,98006,WA,,,47.55873,-122.1585,2000,,,,,,,,,
638,fad86172790241eb61d8f1ff,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,536.0,/v3/places/fad86172790241eb61d8f1ff,Bright Horzns Child Centers,47.581529,-122.156353,47.581529,-122.156353,13808 SE Eastgate Way,,530330234012011,US,Seattle-Tacoma,"13808 SE Eastgate Way, Bellevue, WA 98005",Bellevue,98005,WA,,,47.58613,-122.1585,2000,America/Los_Angeles,,,,,,,,
639,570fb25fcd106ccb58aba7a3,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,537.0,/v3/places/570fb25fcd106ccb58aba7a3,Bright Horizons at Sunset,47.581396,-122.156628,47.581529,-122.156353,13808 SE Eastgate Way,,530330234012011,US,Seattle-Tacoma,"13808 SE Eastgate Way, Bellevue, WA 98005",Bellevue,98005,WA,47.580264,-122.157,47.58613,-122.1585,2000,America/Los_Angeles,,,,,,47.581396,-122.156628,
640,4ffaeb2ee4b0a0306dcdb728,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,976.0,/v3/places/4ffaeb2ee4b0a0306dcdb728,Early Learning Child Care Center,47.585012,-122.148614,47.585012,-122.148614,3000 Landerholm Cir SE,,530330234012009,US,Seattle-Tacoma,"3000 Landerholm Cir SE (Bellevue College Building Q), Bellevue, WA 98007",Bellevue,98007,WA,,,47.58613,-122.1585,2000,America/Los_Angeles,Bellevue College Building Q,,,,,,,
641,e84f0924534c4186777a5d75,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,1985.0,/v3/places/e84f0924534c4186777a5d75,Annie's Alphabet Preschool and Home Childcare,47.575528,-122.137173,47.575528,-122.137173,15240 SE 39th St,,530330248001017,US,Seattle-Tacoma,"15240 SE 39th St, Bellevue, WA 98006",Bellevue,98006,WA,47.575331,-122.137174,47.58613,-122.1585,2000,America/Los_Angeles,,,,,,,,
642,3c1ec41191db49fa3e05073e,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,997.0,/v3/places/3c1ec41191db49fa3e05073e,Kiddin' Around Kids Child Care,47.592086,-122.148551,47.592086,-122.148551,2021 144th Ave SE,,530330234012006,US,Seattle-Tacoma,"2021 144th Ave SE, Bellevue, WA 98007",Bellevue,98007,WA,47.592079,-122.148109,47.58613,-122.1585,2000,,,,,,,,,
644,15aa8e3bf708458ee73ece4b,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,991.0,/v3/places/15aa8e3bf708458ee73ece4b,Eastside Family Childcare,47.614414,-122.145324,47.614414,-122.145324,14615 NE 5th St,,530330236032002,US,Seattle-Tacoma,"14615 NE 5th St, Bellevue, WA 98007",Bellevue,98007,WA,47.614638,-122.145323,47.61354,-122.1585,2000,America/Los_Angeles,,,,,,,,
645,4b590dcbf964a520547a28e3,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],LikelyOpen,998.0,/v3/places/4b590dcbf964a520547a28e3,Brain Child Learning Center,47.622545,-122.159791,47.622545,-122.159791,13555 NE Bel Red Rd,Ste 114,530330236011000,US,Seattle-Tacoma,"13555 NE Bel Red Rd, Bellevue, WA 98005",Bellevue,98005,WA,,,47.61354,-122.1585,2000,America/Los_Angeles,,,,,,,,
646,504e7ef1e4b0a446827da538,"[{'id': 12009, 'name': 'Education', 'short_name': 'Education', 'plural_name': 'Education', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}}, {'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}, {'id': 12013, 'name': 'College and University', 'short_name': 'College & Education', 'plural_name': 'Colleges and Universities', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/education/default_', 'suffix': '.png'}}]",[],Unsure,1150.0,/v3/places/504e7ef1e4b0a446827da538,Early World Children's School,47.62356,-122.156189,47.62356,-122.156189,13831 NE Bel Red Rd,,530330236033005,US,Seattle-Tacoma,"13831 NE Bel Red Rd, Bellevue, WA 98005",Bellevue,98005,WA,47.623536,-122.156159,47.61354,-122.1585,2000,America/Los_Angeles,,,,,,,,
647,f8e1ca6beda24449551d1917,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],LikelyOpen,1662.0,/v3/places/f8e1ca6beda24449551d1917,America's Foundation For Chess,47.628501,-122.158373,47.628501,-122.158373,13620 NE 20th St,Ste J,530330237022004,US,Seattle-Tacoma,"13620 NE 20th St, Bellevue, WA 98005",Bellevue,98005,WA,,,47.61354,-122.1585,2000,America/Los_Angeles,,,,,,,,
648,627cfd7482fc42c3c7ed0808,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],LikelyOpen,1794.0,/v3/places/627cfd7482fc42c3c7ed0808,Da Vinci Children's Center,47.629041,-122.151781,47.629041,-122.151781,14110 NE 21st St,,530330237022000,US,Seattle-Tacoma,"14110 NE 21st St, Bellevue, WA 98007",Bellevue,98007,WA,,,47.61354,-122.1585,2000,America/Los_Angeles,,,,,,,,
649,5164954fe4b01b8e58483578,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,1849.0,/v3/places/5164954fe4b01b8e58483578,Elder and Adult Day Services,47.628486,-122.169394,47.628486,-122.169394,12831 NE 21st Pl,,530330237022006,US,Seattle-Tacoma,"12831 NE 21st Pl, Bellevue, WA 98005",Bellevue,98005,WA,,,47.61354,-122.1585,2000,America/Los_Angeles,,,,,,,,
650,959835ea1b9a4f0934170c50,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,1875.0,/v3/places/959835ea1b9a4f0934170c50,Ark Child Care,47.614028,-122.133477,47.614028,-122.133477,411 156th Ave NE,,530330232011003,US,Seattle-Tacoma,"411 156th Ave NE, Bellevue, WA 98007",Bellevue,98007,WA,,,47.61354,-122.1585,2000,America/Los_Angeles,,,,,,,,
