h3_08,propertyType,lotAreaValue,priceChange,zestimate,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,rentZestimate,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,unit,newConstructionType,resultsPerPage,totalPages,totalResultCount,h3_07,geometry,pricePerSqft
8828d55421fffff,SINGLE_FAMILY,3659.04,,795800.0,https://photos.zillowstatic.com/fp/217eae72f19c4487c6d2d047cb642e61-p_e.jpg,779950.0,3.0,-122.40961,47.57571,FOR_SALE,347753853.0,3200.0,17.0,2.0,1067.0,USA,USD,sqft,,BUILDER_SPEC,41,1,31,8728d5542ffffff,"POLYGON ((-122.40972647907235 47.57328874568726, -122.40476041120107 47.57660212259402, -122.40636701756867 47.58076949568571, -122.41294010898876 47.581623349709616, -122.41790591433265 47.57830986562725, -122.41629889085004 47.57414263470912, -122.40972647907235 47.57328874568726))",730.9746954076851
8828d5551bfffff,CONDO,,,791000.0,https://photos.zillowstatic.com/fp/9080a875c79781012a54e8b1d277a78e-p_e.jpg,764950.0,2.0,-122.3979,47.585632,FOR_SALE,48656540.0,3046.0,11.0,2.0,1487.0,USA,USD,,Apt 201,,41,1,31,8728d5551ffffff,"POLYGON ((-122.39482666961898 47.58322804662694, -122.38985899588438 47.58654059358712, -122.39146519257595 47.590707712505974, -122.39803948057079 47.5915621424186, -122.40300689211975 47.58824948818832, -122.40140027792577 47.58408251132807, -122.39482666961898 47.58322804662694))",514.4250168123739
8828d5542dfffff,SINGLE_FAMILY,0.2766,150000.0,,https://photos.zillowstatic.com/fp/2b97089398515e2f2a891fb5d962b966-p_e.jpg,1900000.0,5.0,-122.40578,47.574852,FOR_SALE,48656397.0,,59.0,5.0,3614.0,USA,USD,acres,,,41,1,31,8728d5542ffffff,"POLYGON ((-122.40154763135479 47.5682664419281, -122.39658130120912 47.57157971162644, -122.39818748248734 47.57574762302798, -122.40476041120107 47.57660212259402, -122.40972647907235 47.57328874568726, -122.40811988057048 47.56912097643544, -122.40154763135479 47.5682664419281))",525.7332595462092
8828d55553fffff,SINGLE_FAMILY,3402.036,,766000.0,https://photos.zillowstatic.com/fp/3c6763ea88c592476aa028fa81f6d0d8-p_e.jpg,749950.0,2.0,-122.39436,47.573563,FOR_SALE,48941070.0,2610.0,17.0,1.0,862.0,USA,USD,sqft,,,41,1,31,8728d5555ffffff,"POLYGON ((-122.3900085354632 47.5707245665352, -122.38504127161316 47.57403736766629, -122.38664703541991 47.5782054211481, -122.39322048061439 47.57906053143108, -122.39818748248734 47.57574762302798, -122.39658130120912 47.57157971162644, -122.3900085354632 47.5707245665352))",870.0116009280742
8828d55519fffff,TOWNHOUSE,1816.452,,1257300.0,https://photos.zillowstatic.com/fp/680be892a855f4eadd8d167169c5e954-p_e.jpg,1220000.0,4.0,-122.388725,47.580917,FOR_SALE,2069356015.0,4146.0,4.0,4.0,1925.0,USA,USD,sqft,# C,,41,1,31,8728d5551ffffff,"POLYGON ((-122.38664703541991 47.5782054211481, -122.38167909975269 47.58151786080542, -122.38328487114632 47.58568551803602, -122.38985899588438 47.58654059358712, -122.39482666961898 47.58322804662694, -122.39322048061439 47.57906053143108, -122.38664703541991 47.5782054211481))",633.7662337662338
8828d55425fffff,TOWNHOUSE,1001.88,,818700.0,https://photos.zillowstatic.com/fp/6f422cf0da5fc085b814433b44ede266-p_e.jpg,795000.0,3.0,-122.40223,47.581585,FOR_SALE,49131828.0,3745.0,11.0,2.0,1180.0,USA,USD,sqft,,,41,1,31,8728d5542ffffff,"POLYGON ((-122.39818748248734 47.57574762302798, -122.39322048061439 47.57906053143108, -122.39482666961898 47.58322804662694, -122.40140027792577 47.58408251132807, -122.40636701756867 47.58076949568571, -122.40476041120107 47.57660212259402, -122.39818748248734 47.57574762302798))",673.728813559322
8828d5551bfffff,SINGLE_FAMILY,1184.832,,1060600.0,https://photos.zillowstatic.com/fp/c49f6b8797f5cc343461dff37c36c262-p_e.jpg,1075000.0,2.0,-122.39527,47.587807,FOR_SALE,305487018.0,3998.0,18.0,3.0,1539.0,USA,USD,sqft,# A,,41,1,31,8728d5551ffffff,"POLYGON ((-122.39482666961898 47.58322804662694, -122.38985899588438 47.58654059358712, -122.39146519257595 47.590707712505974, -122.39803948057079 47.5915621424186, -122.40300689211975 47.58824948818832, -122.40140027792577 47.58408251132807, -122.39482666961898 47.58322804662694))",698.5055230669266
8828d55551fffff,SINGLE_FAMILY,836.352,-30000.0,,https://photos.zillowstatic.com/fp/a0c7d915053c24fb9e2648395e44bb0f-p_e.jpg,789000.0,2.0,-122.38834,47.56761,FOR_SALE,346171132.0,,33.0,2.0,1291.0,USA,USD,sqft,,BUILDER_SPEC,41,1,31,8728d5555ffffff,"POLYGON ((-122.38183017676612 47.5657003262741, -122.37686265119198 47.56901302010048, -122.37846798979241 47.57318161181847, -122.38504127161316 47.57403736766629, -122.3900085354632 47.5707245665352, -122.3884027792828 47.56655611687355, -122.38183017676612 47.5657003262741))",611.1541440743609
8828d55511fffff,MULTI_FAMILY,4186.116,,1647200.0,https://photos.zillowstatic.com/fp/032bf81a0eb209761401e7de797426d3-p_e.jpg,1575000.0,6.0,-122.385994,47.58711,FOR_SALE,348320043.0,6000.0,7.0,6.0,3387.0,USA,USD,sqft,# 1-2-3,,41,1,31,8728d5551ffffff,"POLYGON ((-122.38328487114632 47.58568551803602, -122.37831626352764 47.588997596071835, -122.37992204246879 47.59316485697991, -122.3864968468453 47.59401989787552, -122.39146519257595 47.590707712505974, -122.38985899588438 47.58654059358712, -122.38328487114632 47.58568551803602))",465.0132860938884
8828d5555bfffff,TOWNHOUSE,1350.36,,815500.0,https://photos.zillowstatic.com/fp/1011a10ef2795a426cc89f8eb6e96004-p_e.jpg,799950.0,3.0,-122.39297,47.567364,FOR_SALE,347190229.0,2985.0,25.0,2.0,991.0,USA,USD,sqft,,NEW_CONSTRUCTION_TYPE_OTHER,41,1,31,8728d5555ffffff,"POLYGON ((-122.39336937144999 47.563242954416424, -122.3884027792828 47.56655611687355, -122.3900085354632 47.5707245665352, -122.39658130120912 47.57157971162644, -122.40154763135479 47.5682664419281, -122.39994145784223 47.56409813439231, -122.39336937144999 47.563242954416424))",807.2149344096872
